,model,dic,model_type
1939,angle_mod_2098_1,-50306.16196415389,Collapsing Bounds
800,angle_mod_1859_1,-50305.98127164942,Collapsing Bounds
1062,angle_mod_1911_1,-50305.87257846703,Collapsing Bounds
2132,angle_mod_1955_1,-50305.35293387432,Collapsing Bounds
2204,angle_mod_1980_1,-50305.28739384409,Collapsing Bounds
1278,angle_mod_963_1,-50305.2282468521,Collapsing Bounds
605,angle_mod_2194_1,-50305.131492418455,Collapsing Bounds
421,angle_mod_2177_1,-50304.75685837669,Collapsing Bounds
1329,angle_mod_1136_1,-50304.42344539513,Collapsing Bounds
1654,angle_mod_690_1,-50304.19065722144,Collapsing Bounds
777,angle_mod_1398_1,-50304.02885019985,Collapsing Bounds
2052,angle_mod_1362_1,-50304.024936343165,Collapsing Bounds
2230,angle_mod_1892_1,-50303.845010917576,Collapsing Bounds
293,angle_mod_1776_1,-50303.49137918986,Collapsing Bounds
156,angle_mod_1500_1,-50303.392978004704,Collapsing Bounds
1433,angle_mod_1230_1,-50303.17884513392,Collapsing Bounds
1755,angle_mod_687_1,-50303.10132126977,Collapsing Bounds
13,angle_mod_1890_1,-50303.000008408926,Collapsing Bounds
1171,angle_mod_1706_1,-50302.697409062435,Collapsing Bounds
2535,angle_mod_1108_1,-50302.67076197638,Collapsing Bounds
2447,angle_mod_2088_1,-50302.456599944075,Collapsing Bounds
2717,angle_mod_1738_1,-50302.34404641434,Collapsing Bounds
560,angle_mod_2157_1,-50302.03903015979,Collapsing Bounds
769,angle_mod_2222_1,-50301.86239670476,Collapsing Bounds
1087,angle_mod_1004_1,-50301.29764936408,Collapsing Bounds
1927,angle_mod_1088_1,-50301.04584017835,Collapsing Bounds
710,angle_mod_2218_1,-50300.98685023438,Collapsing Bounds
323,angle_mod_2377_1,-50300.61417064066,Collapsing Bounds
2078,angle_mod_1693_1,-50300.60787517958,Collapsing Bounds
886,angle_mod_1212_1,-50300.2730284109,Collapsing Bounds
1987,angle_mod_1661_1,-50300.08434616685,Collapsing Bounds
1775,angle_mod_1568_1,-50299.98386421744,Collapsing Bounds
1496,angle_mod_1820_1,-50299.62791543766,Collapsing Bounds
335,angle_mod_837_1,-50299.04504231916,Collapsing Bounds
2055,angle_mod_977_1,-50299.03821768098,Collapsing Bounds
471,angle_mod_1825_1,-50299.00907871552,Collapsing Bounds
571,angle_mod_1813_1,-50298.59261082938,Collapsing Bounds
66,angle_mod_2341_1,-50298.40901867655,Collapsing Bounds
2384,angle_mod_1488_1,-50297.69533810197,Collapsing Bounds
525,angle_mod_1444_1,-50297.4599556865,Collapsing Bounds
1160,angle_mod_1993_1,-50297.36811635942,Collapsing Bounds
437,angle_mod_1219_1,-50297.22534613774,Collapsing Bounds
1078,angle_mod_2297_1,-50297.12944202652,Collapsing Bounds
1733,angle_mod_2240_1,-50297.09640381658,Collapsing Bounds
1451,angle_mod_2037_1,-50297.05765196918,Collapsing Bounds
200,angle_mod_1873_1,-50297.01523531862,Collapsing Bounds
2360,angle_mod_1349_1,-50296.77527975077,Collapsing Bounds
645,angle_mod_1983_1,-50296.3271874021,Collapsing Bounds
1900,angle_mod_1801_1,-50295.84741876403,Collapsing Bounds
2265,angle_mod_1627_1,-50295.69529785044,Collapsing Bounds
169,angle_mod_1691_1,-50295.326169058346,Collapsing Bounds
303,angle_mod_1633_1,-50295.06159498787,Collapsing Bounds
1059,angle_mod_1854_1,-50294.61439637477,Collapsing Bounds
2421,angle_mod_1574_1,-50294.463454008175,Collapsing Bounds
1695,angle_mod_2304_1,-50293.84697390572,Collapsing Bounds
1095,angle_mod_1287_1,-50293.724288639,Collapsing Bounds
2517,angle_mod_2323_1,-50293.53431651254,Collapsing Bounds
2644,angle_mod_2102_1,-50293.41436058394,Collapsing Bounds
1446,angle_mod_1549_1,-50293.21288440067,Collapsing Bounds
1340,angle_mod_689_1,-50292.96916224982,Collapsing Bounds
292,angle_mod_1326_1,-50292.85351937343,Collapsing Bounds
62,angle_mod_1428_1,-50292.588070067635,Collapsing Bounds
2165,angle_mod_911_1,-50292.57102700978,Collapsing Bounds
724,angle_mod_1971_1,-50292.485562716116,Collapsing Bounds
1756,angle_mod_1591_1,-50291.9484198715,Collapsing Bounds
768,angle_mod_2388_1,-50291.469275037736,Collapsing Bounds
73,angle_mod_1613_1,-50291.40056624702,Collapsing Bounds
1299,angle_mod_918_1,-50291.29458203962,Collapsing Bounds
959,angle_mod_1793_1,-50290.979571649856,Collapsing Bounds
539,angle_mod_2004_1,-50290.955736641365,Collapsing Bounds
446,angle_mod_2209_1,-50290.822855653714,Collapsing Bounds
1135,angle_mod_1028_1,-50290.58781712934,Collapsing Bounds
454,angle_mod_1560_1,-50290.574614265955,Collapsing Bounds
475,angle_mod_1258_1,-50290.467581796285,Collapsing Bounds
1098,angle_mod_892_1,-50290.278656646675,Collapsing Bounds
138,angle_mod_1453_1,-50289.52307866673,Collapsing Bounds
15,angle_mod_1039_1,-50288.96260811592,Collapsing Bounds
2311,angle_mod_966_1,-50288.72763297323,Collapsing Bounds
1711,angle_mod_2187_1,-50288.71067813555,Collapsing Bounds
1163,angle_mod_1090_1,-50288.500052684336,Collapsing Bounds
134,angle_mod_1900_1,-50288.4112168492,Collapsing Bounds
1838,angle_mod_1285_1,-50288.10829054983,Collapsing Bounds
503,angle_mod_1940_1,-50288.085331770155,Collapsing Bounds
2126,angle_mod_1282_1,-50287.87583948105,Collapsing Bounds
557,angle_mod_1452_1,-50287.86128988946,Collapsing Bounds
1083,angle_mod_1141_1,-50287.51902782927,Collapsing Bounds
908,angle_mod_850_1,-50287.14008188772,Collapsing Bounds
1381,angle_mod_1363_1,-50287.04274453332,Collapsing Bounds
1994,angle_mod_961_1,-50286.43102906263,Collapsing Bounds
1703,angle_mod_901_1,-50286.33446144149,Collapsing Bounds
2341,angle_mod_1888_1,-50285.90471088285,Collapsing Bounds
2036,angle_mod_2237_1,-50285.74975689887,Collapsing Bounds
1028,angle_mod_1803_1,-50285.14901804639,Collapsing Bounds
2224,angle_mod_1484_1,-50285.14647675818,Collapsing Bounds
1210,angle_mod_847_1,-50284.817868301194,Collapsing Bounds
2114,angle_mod_2338_1,-50284.75127488435,Collapsing Bounds
1138,angle_mod_1497_1,-50284.48750552605,Collapsing Bounds
639,angle_mod_729_1,-50284.470673680706,Collapsing Bounds
2433,angle_mod_818_1,-50284.099276096575,Collapsing Bounds
2160,angle_mod_1884_1,-50283.86921295343,Collapsing Bounds
778,angle_mod_1662_1,-50283.84563944419,Collapsing Bounds
1200,angle_mod_1194_1,-50283.68451636216,Collapsing Bounds
1249,angle_mod_1272_1,-50283.548143272106,Collapsing Bounds
2413,angle_mod_2026_1,-50283.37875397913,Collapsing Bounds
2178,angle_mod_1996_1,-50283.364953656775,Collapsing Bounds
1523,angle_mod_1898_1,-50283.33933761436,Collapsing Bounds
2275,angle_mod_1918_1,-50283.33721103566,Collapsing Bounds
1809,angle_mod_1397_1,-50283.23321883871,Collapsing Bounds
562,angle_mod_1281_1,-50283.13901561052,Collapsing Bounds
187,angle_mod_1042_1,-50282.85616498348,Collapsing Bounds
1356,angle_mod_2188_1,-50282.26183891674,Collapsing Bounds
2147,angle_mod_985_1,-50282.25444263077,Collapsing Bounds
712,angle_mod_1822_1,-50282.235274867424,Collapsing Bounds
1509,angle_mod_2021_1,-50282.13885075282,Collapsing Bounds
1625,angle_mod_782_1,-50281.62654264917,Collapsing Bounds
255,angle_mod_1166_1,-50281.39196039094,Collapsing Bounds
396,angle_mod_2272_1,-50281.24991030119,Collapsing Bounds
1165,angle_mod_806_1,-50281.07187470493,Collapsing Bounds
1021,angle_mod_702_1,-50281.053525883646,Collapsing Bounds
588,angle_mod_986_1,-50280.71381205271,Collapsing Bounds
1572,angle_mod_2144_1,-50280.070781014336,Collapsing Bounds
1626,angle_mod_1494_1,-50279.86614477175,Collapsing Bounds
2148,angle_mod_2046_1,-50279.65558888677,Collapsing Bounds
1491,angle_mod_1123_1,-50279.61419689203,Collapsing Bounds
1562,angle_mod_868_1,-50279.106278651896,Collapsing Bounds
681,angle_mod_1741_1,-50278.793577965276,Collapsing Bounds
1149,angle_mod_914_1,-50278.78388204221,Collapsing Bounds
188,angle_mod_704_1,-50278.672206779804,Collapsing Bounds
2273,angle_mod_927_1,-50278.40536200081,Collapsing Bounds
692,angle_mod_1526_1,-50278.29053453961,Collapsing Bounds
961,angle_mod_1269_1,-50278.23157407398,Collapsing Bounds
1588,angle_mod_1791_1,-50278.22097216965,Collapsing Bounds
2549,angle_mod_1734_1,-50278.143193694705,Collapsing Bounds
1190,angle_mod_810_1,-50277.92843790836,Collapsing Bounds
910,angle_mod_2039_1,-50277.83149089888,Collapsing Bounds
1026,angle_mod_2392_1,-50277.65500841772,Collapsing Bounds
462,angle_mod_1599_1,-50277.06158701449,Collapsing Bounds
2174,angle_mod_2197_1,-50276.73565499112,Collapsing Bounds
2342,angle_mod_2089_1,-50276.47585254641,Collapsing Bounds
536,angle_mod_2141_1,-50276.30311546731,Collapsing Bounds
1332,angle_mod_1835_1,-50276.101539664385,Collapsing Bounds
946,angle_mod_1951_1,-50276.08137702367,Collapsing Bounds
2340,angle_mod_1922_1,-50275.84116310638,Collapsing Bounds
130,angle_mod_1845_1,-50275.52727660353,Collapsing Bounds
2597,angle_mod_1352_1,-50275.497627932,Collapsing Bounds
2494,angle_mod_2270_1,-50275.19086484709,Collapsing Bounds
669,angle_mod_791_1,-50275.04047404645,Collapsing Bounds
2364,angle_mod_819_1,-50274.92224410454,Collapsing Bounds
2346,angle_mod_1099_1,-50274.37683310302,Collapsing Bounds
2298,angle_mod_2334_1,-50274.08628584665,Collapsing Bounds
1729,angle_mod_1529_1,-50273.94479472649,Collapsing Bounds
2509,angle_mod_1325_1,-50273.80971266495,Collapsing Bounds
1192,angle_mod_2079_1,-50273.55766229652,Collapsing Bounds
1221,angle_mod_1360_1,-50273.16226999499,Collapsing Bounds
2058,angle_mod_1410_1,-50272.82237880928,Collapsing Bounds
160,angle_mod_1445_1,-50272.747879195966,Collapsing Bounds
815,angle_mod_1623_1,-50272.532725133926,Collapsing Bounds
1092,angle_mod_1907_1,-50272.1295604523,Collapsing Bounds
1499,angle_mod_1965_1,-50271.68830917711,Collapsing Bounds
2338,angle_mod_1471_1,-50271.51584871662,Collapsing Bounds
1465,angle_mod_761_1,-50271.508500895405,Collapsing Bounds
654,angle_mod_1653_1,-50271.40173723224,Collapsing Bounds
1552,angle_mod_2328_1,-50271.00688019291,Collapsing Bounds
